ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
164,Never,Never,Always,Sometimes,Never,Always,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,True
165,Sometimes,Never,Never,Always,Never,Always,Always,Always,Never,Sometimes,Never,Never,Sometimes,Never,Never,Always,Always,Sometimes,Always,Sometimes,False
166,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,Never,Always,Never,Never,Never,Never,Never,Sometimes,Never,Never,Always,Sometimes,True
167,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,False
168,Sometimes,Never,Always,Sometimes,Always,Always,Always,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Always,True
169,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Always,Never,False
170,Never,Never,Always,Never,Always,Always,Never,Never,Always,Always,Sometimes,Never,Never,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,True
171,Always,Never,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Never,False
172,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,Always,Always,Never,Never,Sometimes,Never,True
173,Never,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Never,Always,Always,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Never,Sometimes,False
174,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Never,Always,Never,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,True
175,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Never,Always,Never,Never,Sometimes,Sometimes,Never,Always,Never,Always,Always,Never,Never,False
176,Always,Never,Sometimes,Never,Never,Sometimes,Always,Never,Never,Always,Always,Always,Sometimes,Never,Never,Sometimes,Never,Sometimes,Always,Never,True
177,Sometimes,Always,Always,Always,Always,Always,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Never,False
178,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Never,Always,Never,Never,Sometimes,Never,Always,Never,Sometimes,Always,True
179,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Sometimes,False
180,Always,Always,Never,Sometimes,Sometimes,Never,Never,Always,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,True
181,Always,Never,Never,Sometimes,Always,Sometimes,Never,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Always,False
182,Always,Sometimes,Sometimes,Always,Never,Never,Always,Never,Never,Never,Always,Always,Always,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,True
183,Sometimes,Sometimes,Never,Always,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Always,Always,Always,Never,False
184,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Always,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always,True
185,Always,Never,Never,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Always,Always,Sometimes,Always,Always,Always,False
186,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Always,Never,Always,Never,Never,Never,Sometimes,Never,Always,Sometimes,Always,True
187,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Always,Always,Always,Never,Never,Always,Always,False
188,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Never,Never,Never,Never,Never,Sometimes,True
189,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,False
190,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Never,Never,Never,Sometimes,Never,Sometimes,True
191,Always,Always,Never,Sometimes,Always,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Never,Sometimes,Always,False
192,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Never,Always,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,True
193,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,Always,Always,Always,Never,Always,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,False
194,Always,Never,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Always,Never,Always,Never,Never,Never,Never,Sometimes,Never,Always,Always,True
195,Sometimes,Never,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Always,Always,Always,Never,Sometimes,Never,Always,Always,Always,False
196,Sometimes,Always,Sometimes,Always,Always,Never,Always,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,True
197,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Never,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,False
198,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,True
199,Never,Always,Never,Never,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Never,Always,Always,Sometimes,Always,Never,Always,Always,Always,False
200,Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Never,Sometimes,Never,Always,True
201,Sometimes,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Always,Always,Never,Always,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Always,False
202,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Always,Always,Always,Never,Always,Sometimes,Never,Never,Never,True
203,Always,Always,Never,Sometimes,Always,Sometimes,Never,Always,Always,Never,Always,Always,Always,Never,Always,Always,Never,Always,Never,Always,False
204,Always,Always,Always,Never,Never,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,True
205,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Never,Never,Sometimes,Sometimes,Always,Never,Always,Always,Never,Always,Never,False
206,Always,Sometimes,Always,Never,Sometimes,Always,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,True
207,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Always,Never,Never,Never,False
208,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Always,Always,Sometimes,Sometimes,Never,Sometimes,Never,Always,Always,True
209,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,False
210,Always,Sometimes,Never,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,Never,Always,Always,Always,Never,Always,Always,Sometimes,Never,Always,True
211,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Never,False
212,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Always,Never,Always,Sometimes,True
213,Never,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,False
214,Sometimes,Always,Always,Never,Sometimes,Always,Always,Never,Always,Never,Never,Always,Always,Always,Sometimes,Sometimes,Never,Always,Never,Always,True
215,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,Always,Never,Always,Sometimes,False
216,Always,Always,Never,Never,Always,Always,Sometimes,Never,Always,Always,Never,Always,Always,Never,Never,Always,Always,Never,Never,Sometimes,True
217,Sometimes,Never,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,False
218,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Never,True
219,Sometimes,Sometimes,Never,Always,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Always,Sometimes,Never,False
220,Never,Sometimes,Always,Always,Never,Always,Never,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,True
221,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Always,Never,Never,Never,Always,False
222,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Never,Always,Never,Always,Never,Never,Always,Sometimes,True
223,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Never,Always,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Never,False
224,Always,Always,Always,Always,Always,Sometimes,Sometimes,Never,Never,Always,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,True
225,Sometimes,Sometimes,Always,Never,Always,Always,Never,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,False
226,Never,Always,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Sometimes,True
227,Sometimes,Never,Never,Always,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Never,False
228,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Always,Sometimes,True
229,Sometimes,Sometimes,Always,Never,Never,Sometimes,Never,Never,Never,Sometimes,Always,Always,Never,Never,Always,Sometimes,Never,Never,Always,Always,False
230,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Never,True
231,Never,Sometimes,Never,Always,Always,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Sometimes,Never,False
232,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Sometimes,Always,Always,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,True
233,Always,Always,Never,Sometimes,Sometimes,Always,Always,Never,Always,Always,Sometimes,Always,Never,Always,Always,Sometimes,Never,Always,Always,Never,False
234,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Never,Never,Sometimes,Never,Never,Always,Never,Never,Sometimes,Sometimes,Sometimes,Never,True
235,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Sometimes,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,False
236,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,True
237,Sometimes,Always,Never,Always,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,Sometimes,Never,Always,Never,Never,False
238,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never,Always,Always,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Never,Never,Always,Never,True
239,Sometimes,Always,Never,Sometimes,Never,Never,Never,Never,Sometimes,Always,Always,Always,Sometimes,Always,Always,Never,Never,Never,Always,Always,False
240,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Never,Never,Never,Never,Always,Always,Always,Sometimes,Always,Never,Never,Never,Never,True
241,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,False
242,Sometimes,Always,Always,Never,Never,Always,Always,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Never,Always,Never,True
243,Sometimes,Always,Never,Always,Never,Always,Always,Sometimes,Never,Sometimes,Always,Always,Never,Always,Never,Always,Never,Never,Never,Sometimes,False
244,Never,Never,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,True
245,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Always,Always,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,False
246,Sometimes,Always,Always,Never,Never,Never,Sometimes,Always,Never,Never,Never,Never,Always,Always,Always,Always,Always,Always,Never,Never,True
247,Never,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,False
248,Always,Always,Always,Never,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Never,Never,Never,Sometimes,Never,Always,Always,True
249,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Always,False
250,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Always,Always,Never,Never,True
251,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,False
252,Always,Sometimes,Always,Sometimes,Never,Always,Always,Never,Always,Always,Sometimes,Never,Always,Always,Sometimes,Always,Always,Never,Sometimes,Never,True
253,Sometimes,Always,Sometimes,Always,Sometimes,Never,Never,Never,Never,Always,Never,Never,Sometimes,Never,Always,Sometimes,Never,Never,Never,Always,False
254,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Always,Sometimes,True
255,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Always,Never,Always,Never,False
256,Always,Never,Sometimes,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Always,Always,Sometimes,Always,True
257,Always,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Always,Always,Never,Always,Always,Sometimes,Sometimes,False
258,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,True
259,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Always,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Never,False
260,Always,Always,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Always,Never,True
261,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,Never,Sometimes,Always,Never,Never,False
262,Always,Never,Always,Always,Sometimes,Always,Always,Never,Always,Never,Sometimes,Always,Sometimes,Never,Always,Never,Always,Sometimes,Never,Always,True
263,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes,Always,Always,Never,Always,Never,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,False
264,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Never,Never,Never,Never,Never,Always,Never,Sometimes,Never,Never,Sometimes,True
265,Sometimes,Sometimes,Never,Always,Always,Never,Never,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Never,False
266,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Never,Never,Never,Always,Sometimes,Never,Always,Always,True
267,Always,Always,Never,Always,Sometimes,Sometimes,Never,Never,Always,Never,Never,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,False
268,Always,Never,Always,Always,Never,Always,Never,Never,Always,Always,Sometimes,Never,Always,Sometimes,Never,Always,Never,Never,Always,Never,True
269,Always,Sometimes,Always,Always,Always,Never,Always,Sometimes,Never,Never,Always,Always,Never,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,False
270,Never,Never,Always,Sometimes,Never,Never,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,True
271,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Always,Sometimes,Never,Never,Always,Always,Always,False
272,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,True
273,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Never,Always,Never,Always,Always,Never,Never,Always,Never,Always,Always,Sometimes,Sometimes,False
274,Never,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Never,Always,Never,Never,Always,Sometimes,Never,Never,Never,Never,Always,Always,True
275,Sometimes,Always,Never,Always,Never,Sometimes,Always,Never,Always,Always,Always,Sometimes,Always,Always,Always,Always,Never,Sometimes,Always,Always,False
276,Always,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,True
277,Never,Sometimes,Sometimes,Always,Always,Never,Never,Always,Never,Always,Always,Never,Never,Sometimes,Always,Sometimes,Never,Sometimes,Never,Always,False
278,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Never,Always,Always,Never,Never,Sometimes,Sometimes,Never,Always,Always,True
279,Always,Never,Sometimes,Never,Always,Never,Never,Always,Never,Always,Always,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Always,Sometimes,False
280,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,True
281,Always,Never,Never,Always,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,False
282,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Sometimes,Sometimes,Always,True
283,Always,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Always,Always,Always,Always,Never,Never,Always,Always,Never,Sometimes,Always,Always,False
284,Never,Never,Never,Always,Never,Never,Always,Never,Never,Sometimes,Never,Always,Never,Never,Sometimes,Never,Never,Always,Never,Sometimes,True
285,Always,Sometimes,Always,Never,Never,Always,Sometimes,Always,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,False
286,Sometimes,Always,Never,Always,Never,Never,Never,Sometimes,Always,Never,Never,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,True
287,Always,Sometimes,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Always,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Never,Never,False
288,Sometimes,Always,Sometimes,Always,Always,Always,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,True
289,Always,Sometimes,Never,Always,Never,Never,Always,Never,Always,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Always,Sometimes,False
290,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Always,Never,Always,Never,Always,Never,Never,True
291,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Always,Always,Never,Sometimes,Always,Sometimes,False
292,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Always,Always,Always,Always,Never,Always,Sometimes,Never,Sometimes,Never,True
293,Always,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Always,Never,Never,Always,Sometimes,Sometimes,False
294,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Always,Always,Always,Always,True
295,Always,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Always,False
296,Never,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Always,Never,True
297,Never,Never,Always,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,False
298,Sometimes,Never,Sometimes,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,True
299,Never,Always,Never,Always,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Always,Always,Never,Always,Never,Never,Never,Never,Sometimes,False
300,Never,Never,Sometimes,Never,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,Always,Never,Sometimes,Sometimes,Always,Never,True
301,Always,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Always,Always,Never,Always,Always,Always,Never,Always,False
302,Sometimes,Always,Always,Never,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Never,Always,Never,Never,Always,Sometimes,Always,Always,Always,True
303,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Never,Sometimes,Always,Always,Always,Always,False
304,Sometimes,Always,Sometimes,Never,Always,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,True
305,Always,Never,Sometimes,Never,Always,Sometimes,Always,Never,Sometimes,Always,Never,Never,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Always,False
306,Never,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Never,Sometimes,True
307,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Never,Never,Always,Always,Sometimes,False
308,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Never,Never,Sometimes,True
309,Always,Always,Never,Always,Sometimes,Always,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Always,Sometimes,Sometimes,Always,False
310,Sometimes,Always,Never,Always,Never,Never,Always,Always,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Sometimes,Always,Never,True
311,Sometimes,Sometimes,Never,Always,Never,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,False
312,Always,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Always,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Never,True
313,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Always,Always,False
314,Always,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Never,Always,Always,Never,Always,Always,True
315,Always,Never,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Never,Always,Always,Never,Sometimes,Always,Never,Never,Sometimes,Never,Sometimes,False
316,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Never,Sometimes,Sometimes,Never,Always,Never,Always,Sometimes,True
317,Never,Sometimes,Never,Sometimes,Always,Always,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Always,False
318,Never,Always,Never,Always,Never,Never,Always,Sometimes,Never,Always,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Always,Always,Never,True
319,Never,Never,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Never,Never,False
320,Always,Never,Sometimes,Sometimes,Never,Always,Always,Always,Sometimes,Always,Sometimes,Always,Always,Never,Always,Always,Sometimes,Always,Sometimes,Never,True
321,Never,Never,Never,Never,Always,Always,Sometimes,Always,Never,Never,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,False
322,Always,Always,Sometimes,Never,Sometimes,Never,Always,Always,Always,Always,Sometimes,Never,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,True
323,Always,Sometimes,Never,Always,Always,Always,Sometimes,Always,Never,Sometimes,Always,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,False
324,Never,Never,Sometimes,Sometimes,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,True
325,Always,Sometimes,Always,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Never,Always,Never,Never,False
326,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Never,Always,Sometimes,Never,Always,Sometimes,Never,Always,True
327,Never,Sometimes,Always,Never,Always,Never,Always,Sometimes,Always,Always,Always,Never,Never,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,False
328,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,Never,Never,Sometimes,Never,Always,Sometimes,Never,Never,Never,True
